Revenue Item Sales Report
"Oct 17, 2019 12:00 am - Oct 17, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:17 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$2,492.82"
Net Sales,"$2,485.82"
COGS,$0.00
Gross Profit,$759.90
Gross Profit Margin,30.57%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Item 1,1,0,"$1,640.17",$0.00,-$0.00,"$1,640.17",65.98%,"$1,640.17",$0.00,$0.00
Combination de Tres,6,0,$73.70,$0.00,-$0.00,$73.70,2.96%,$12.28,$0.00,$73.70
House Margarita,7,0,$60.00,-$4.00,-$0.00,$56.00,2.25%,$8.00,$0.00,$56.00
Carne Asada Plate,3,0,$53.85,$0.00,-$0.00,$53.85,2.17%,$17.95,$0.00,$53.85
S Shrimp Margarita,3,0,$53.85,$0.00,-$0.00,$53.85,2.17%,$17.95,$0.00,$53.85
Combination de Dos,4,0,$41.80,$0.00,-$0.00,$41.80,1.68%,$10.45,$0.00,$41.80
Carnitas Plate,2,0,$33.90,$0.00,-$0.00,$33.90,1.36%,$16.95,$0.00,$33.90
Soft Drink,10,0,$32.50,$0.00,-$0.00,$32.50,1.31%,$3.25,$0.00,$32.50
Patron,3,0,$30.00,$0.00,-$0.00,$30.00,1.21%,$10.00,$0.00,$30.00
Dos XX,5,0,$28.00,$0.00,-$0.00,$28.00,1.13%,$5.60,$0.00,$0.00
Combination de Uno,3,0,$27.85,$0.00,-$0.00,$27.85,1.12%,$9.28,$0.00,$27.85
The Healthy Choice,3,0,$26.85,$0.00,-$0.00,$26.85,1.08%,$8.95,$0.00,$26.85
Shred Beef Burrito,2,0,$25.90,$0.00,-$0.00,$25.90,1.04%,$12.95,$0.00,$25.90
Grande Mixed Fajitas,1,0,$24.95,$0.00,-$0.00,$24.95,1.00%,$24.95,$0.00,$24.95
Taco A La Carte,7,0,$24.75,$0.00,-$0.00,$24.75,1.00%,$3.54,$0.00,$0.00
Cadillac Margarita,2,0,$22.00,$0.00,-$0.00,$22.00,0.89%,$11.00,$0.00,$22.00
Blackened Salmon,1,0,$19.95,$0.00,-$0.00,$19.95,0.80%,$19.95,$0.00,$19.95
Camarones Aguachiles,1,0,$19.95,$0.00,-$0.00,$19.95,0.80%,$19.95,$0.00,$19.95
Coffee,7,0,$19.25,$0.00,-$0.00,$19.25,0.77%,$2.75,$0.00,$19.25
Coronadita Margarita,2,0,$18.00,$0.00,-$0.00,$18.00,0.72%,$9.00,$0.00,$18.00
Camarones,1,0,$17.95,$0.00,-$0.00,$17.95,0.72%,$17.95,$0.00,$17.95
Double Dare Tacos,2,0,$17.90,$0.00,-$0.00,$17.90,0.72%,$8.95,$0.00,$17.90
Carne Asada Burrito,1,0,$14.95,$0.00,-$0.00,$14.95,0.60%,$14.95,$0.00,$14.95
Carnitas Burrito,1,0,$12.95,$0.00,-$0.00,$12.95,0.52%,$12.95,$0.00,$12.95
Large Chile Relleno,1,0,$12.95,$0.00,-$0.00,$12.95,0.52%,$12.95,$0.00,$12.95
Bud Light,3,0,$12.00,$0.00,-$0.00,$12.00,0.48%,$4.00,$0.00,$0.00
Nachos Vaqueros,1,0,$11.95,$0.00,-$0.00,$11.95,0.48%,$11.95,$0.00,$11.95
Cheese Quesadilla,1,0,$10.95,$0.00,-$0.00,$10.95,0.44%,$10.95,$0.00,$10.95
Machaca Con Huevo,1,0,$10.95,$0.00,-$0.00,$10.95,0.44%,$10.95,$0.00,$10.95
Champagne,3,0,$9.00,$0.00,-$0.00,$9.00,0.36%,$3.00,$0.00,$9.00
Horchata,2,0,$9.00,$0.00,-$0.00,$9.00,0.36%,$4.50,$0.00,$9.00
KIDS Cheese Enchilada,1,0,$8.95,$0.00,-$0.00,$8.95,0.36%,$8.95,$0.00,$8.95
KIDS Chicken Strips,1,0,$8.95,$0.00,-$0.00,$8.95,0.36%,$8.95,$0.00,$8.95
The Classic Enchiladas,1,0,$8.95,$0.00,-$0.00,$8.95,0.36%,$8.95,$0.00,$8.95
Taquito A La Carte,4,0,$8.00,$0.00,-$0.00,$8.00,0.32%,$2.00,$0.00,$0.00
Modelo Especial,1,0,$8.00,-$1.00,-$0.00,$7.00,0.28%,$7.00,$0.00,$0.00
Bloody Mary,1,0,$8.00,-$2.00,-$0.00,$6.00,0.24%,$6.00,$0.00,$0.00
Chile Relleno,1,0,$6.00,$0.00,-$0.00,$6.00,0.24%,$6.00,$0.00,$6.00
Montejo,1,0,$6.00,$0.00,-$0.00,$6.00,0.24%,$6.00,$0.00,$6.00
S Pumpkin Cheesecake,1,0,$4.95,$0.00,-$0.00,$4.95,0.20%,$4.95,$0.00,$4.95
Side Guacamole,1,0,$3.00,$0.00,-$0.00,$3.00,0.12%,$3.00,$0.00,$3.00
Tea,1,0,$2.75,$0.00,-$0.00,$2.75,0.11%,$2.75,$0.00,$2.75
Sour Cream,1,0,$1.50,$0.00,-$0.00,$1.50,0.06%,$1.50,$0.00,$1.50
Water,5,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,110,0,"$2,492.82",-$7.00,$0.00,"$2,485.82",100.00%,$22.60,$0.00,$759.90
